round,lr,n_params,sparsity,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,loss_client_mean,loss_client_std,loss_client_min,loss_client_max,gnorm_client_mean,gnorm_client_std,gnorm_client_min,gnorm_client_max,sec_client_mean,steps,applied,skipped,model_mib,comm_mib,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,0.001,35891,0.7,0.5314278152829066,0.4165374011550701,0.5314278152829066,0.5655518124220883,0.21631089136323048,0.5314278152829066,0.5314278152829066,0.19326919960398828,0.5314278152829066,0.4703242389350284,0.36293245946726366,0.14153408634641157,0.09405836168226304,0.7981735070546468,1.7533758920742166,0.476112483875967,0.5906419373441115,2.693185499237805,16.12152125622001,168200,168160,40,0.14063262939453125,28.12652587890625,809.1951104670001,6.068936166999947,6.7360663414001465,6.970302104949951,compiled,815.3028138600001
2,0.0009989829694114164,35891,0.7,0.6621887249574705,0.665398567232292,0.6621887249574705,0.7284126886855943,0.5711119084973266,0.6621887249574705,0.6621887249574705,0.5714092912718786,0.6621887249574705,0.6704953356773322,0.23583811899493695,0.08688080116190612,0.05765007250966924,0.5166715296303354,1.8477752580372353,0.48781727206302306,0.6509137128804584,3.0631553091653965,12.838147600370013,168200,168162,38,0.14063262939453125,28.12652587890625,646.030693536,4.67690044699998,6.736995220184326,6.732260704040527,compiled,650.7360436639999
3,0.0009959360568425068,35891,0.7,0.6569315744326707,0.6702314165058384,0.6569315744326707,0.7364312140626884,0.6548067516526178,0.6569315744326707,0.6569315744326707,0.6423517199789357,0.6569315744326707,0.6657835041461901,0.18761430345134808,0.06667375343198977,0.04696248794242292,0.4197095561231303,1.6797976690613863,0.4277006233008886,0.6289547985010614,2.837484320150336,10.135016185700024,168200,168114,86,0.14063262939453125,28.12652587890625,507.3595379039998,4.9756300180001745,6.743468761444092,6.732260704040527,compiled,512.365053391
4,0.0009908717827105773,35891,0.7,0.6738338328217955,0.6651798904833385,0.6738338328217955,0.7317353026422415,0.6864202815547507,0.6738338328217955,0.6738338328217955,0.6621418952265135,0.6738338328217955,0.6764118317926759,0.16299513060731666,0.05736549995866679,0.04138814607628522,0.3684172950530372,1.5499611421563488,0.38683710615550104,0.5868757498673757,2.620950962015415,9.813052834749996,168200,168109,91,0.14063262939453125,28.12652587890625,491.323846751,4.781613113000276,6.743468761444092,6.732260704040527,compiled,496.13383609599987
5,0.0009838109572043196,35891,0.7,0.6736764175252103,0.6723774163028278,0.6736764175252103,0.7332908444500698,0.6970094201151129,0.6736764175252103,0.6736764175252103,0.6693952204323739,0.6736764175252103,0.6739985000495274,0.14649884798380883,0.05136447242717856,0.03768141995387448,0.3348000029213408,1.4543326764170774,0.35758755571263523,0.5663299138866956,2.484165736607143,10.00478360613,168200,168102,98,0.14063262939453125,28.12652587890625,500.39326338399997,4.483397895000053,6.743468761444092,6.732260704040527,compiled,504.9029874170001
6,0.000974782594770281,35891,0.7,0.6804179552682226,0.6708916343982294,0.6804179552682226,0.7334721349822162,0.7061668483628147,0.6804179552682226,0.6804179552682226,0.6735833860294507,0.6804179552682226,0.6807979995323026,0.1350922855007189,0.04727352403753157,0.035152102476798446,0.3080982310847723,1.3908258471851063,0.33867514672762394,0.5493839232290022,2.3637217775825183,9.659329623759973,168200,168091,109,0.14063262939453125,28.12652587890625,483.16991479399985,4.448608530999991,6.743468761444092,6.731865882873535,compiled,487.64491371700024
7,0.0009638237948862808,35891,0.7,0.6833107168872882,0.6804105051594608,0.6833107168872882,0.7377824767794074,0.7096465996796925,0.6833107168872882,0.6833107168872881,0.6797429223859284,0.6833107168872882,0.6833696988809835,0.12659509995521526,0.04415744582655949,0.03291377727570291,0.29113527328249006,1.3471669947550151,0.3278545194457251,0.5372588183632303,2.327120118379884,9.380348806410016,168200,168089,111,0.14063262939453125,28.12652587890625,469.2808633269997,4.443625537000116,6.743468761444092,6.731865882873535,compiled,473.7500570299999
8,0.0009509795896116975,35891,0.7,0.6831154810324325,0.690487482277488,0.6831154810324325,0.7437423349218273,0.715336148824833,0.6831154810324325,0.6831154810324325,0.6853768340975703,0.6831154810324325,0.6826671710414512,0.11993818498793407,0.04173262099250965,0.0318687764389255,0.2778555994650965,1.31153698258749,0.31920981473002263,0.523976836724304,2.260336180746337,9.338251189670036,168200,168074,126,0.14063262939453125,28.12652587890625,467.1786202149997,4.457372549999491,6.743468761444092,6.731865882873535,compiled,471.66349227499995
9,0.0009363027585410778,35891,0.7,0.6841171218127701,0.689031936008238,0.6841171218127701,0.7440123678090599,0.721767136182765,0.6841171218127701,0.68411712181277,0.6882558312432714,0.6841171218127701,0.6820913745625772,0.11424191199214889,0.03975108645437599,0.03021418845940615,0.26331282711262227,1.2867672229743372,0.31481396877191786,0.5165383828001628,2.229337734231739,9.314750826109984,168200,168074,126,0.14063262939453125,28.12652587890625,466.514364009,4.430840726000497,6.743468761444092,6.731865882873535,compiled,470.9718812889996
10,0.0009198536119214611,35891,0.7,0.6818710266924862,0.6913516699125815,0.6818710266924862,0.7474191223637481,0.7261175205922699,0.6818710266924862,0.6818710266924863,0.6898732280302335,0.6818710266924862,0.6779877339478733,0.10916309733524981,0.03781821492384494,0.02973080150371416,0.24930038731613438,1.2712621849952845,0.3094857983844182,0.5038788179274042,2.2238638369009465,9.38472547190995,168200,168051,149,0.14063262939453125,28.12652587890625,469.3126067409994,4.447176832999503,6.743468761444092,6.731865882873535,compiled,473.78920509599993
