round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
1,0,926214,1,42010133,0.001,3619,3618,1,0,29.70858442100007,6.730792999267578,0.1823220661557663,1.1570948426271421
1,1,209678,1,42010134,0.001,820,819,1,0,12.72085782499994,6.693615436553955,0.4730324098915408,1.9959484281994047
1,2,509018,1,42010135,0.001,1989,1988,1,0,11.283259027999975,6.707184314727783,0.44109339877153547,2.326124471438003
1,3,411880,1,42010136,0.001,1609,1609,0,0,8.775133811000046,6.703352451324463,0.38870692564286824,1.9569421819161748
1,4,457865,1,42010137,0.001,1789,1788,1,0,19.32260890400005,6.7140727043151855,0.3916774126773979,2.2614664167365772
1,5,276084,0,42010138,0.001,1079,1078,1,0,13.030748012999993,6.708261966705322,0.48727411330299164,2.216948387131841
1,6,155981,0,42010139,0.001,610,609,1,0,3.3295958880000853,6.691070079803467,0.5285524264932266,2.0704788684061985
1,7,438907,1,42010140,0.001,1715,1714,1,0,17.05062619900002,6.711434841156006,0.4034283169509371,2.125982829820595
1,8,563122,1,42010141,0.001,2200,2199,1,0,22.254640117000008,6.72276496887207,0.285010642710465,1.5832103193212823
1,9,671047,0,42010142,0.001,2622,2622,0,0,21.833904203999964,6.713476181030273,0.20557453030397835,1.3275595285981598
1,10,559874,1,42010143,0.001,2188,2187,1,0,20.73588984999992,6.70925760269165,0.23860191481267146,1.409769442836934
1,11,277765,1,42010144,0.001,1086,1086,0,0,7.512436433999937,6.697240352630615,0.3853036729450823,1.6407327950549608
1,12,344014,1,42010145,0.001,1344,1344,0,0,16.795480834000045,6.726260185241699,0.4069828760056269,2.0935440063476562
1,13,872271,1,42010146,0.001,3408,3407,1,0,26.23662780899997,6.724096298217773,0.20661312245468888,1.484398790633255
1,14,353613,0,42010147,0.001,1382,1382,0,0,14.499831244000006,6.700956344604492,0.36590481218484305,1.846291041063676
1,15,392479,0,42010148,0.001,1534,1533,1,0,17.0777272119999,6.701663494110107,0.29132161697218484,1.4368099404252284
1,16,509253,0,42010149,0.001,1990,1989,1,0,18.648421002000077,6.706188201904297,0.308675437071864,1.5430351552680368
1,17,384412,0,42010150,0.001,1502,1502,0,0,17.796719521000114,6.7162766456604,0.2479218789010486,1.3284942179957973
1,18,629973,1,42010151,0.001,2461,2460,1,0,23.56845701000009,6.730055332183838,0.19187605943137068,1.2332048121506605
1,19,621908,0,42010152,0.001,2430,2429,1,0,20.68428015099994,6.711261749267578,0.2073463260906623,1.1180581241637506
1,20,801121,0,42010153,0.001,3130,3129,1,0,24.855976258000055,6.719334125518799,0.14035693492017717,0.9852072160135027
1,21,384660,1,42010154,0.001,1503,1503,0,0,18.14236787799996,6.715550422668457,0.258461612744563,1.3730405400137227
1,22,355766,1,42010155,0.001,1390,1390,0,0,17.043355604999988,6.721792221069336,0.44148695691883993,2.207519004327788
1,23,360226,0,42010156,0.001,1408,1407,1,0,9.076415672999929,6.699472904205322,0.2902524252690232,1.6193691489538913
1,24,338512,1,42010157,0.001,1323,1322,1,0,14.499349629000108,6.702755928039551,0.42112771177075453,2.2873612719837366
1,25,185941,0,42010158,0.001,727,727,0,0,11.125259440000036,6.7012176513671875,0.5254399904358665,1.9680786972360729
1,26,561149,0,42010159,0.001,2192,2191,1,0,16.215217082000095,6.736018657684326,0.2837986286673465,1.6605163880648106
1,27,372819,0,42010160,0.001,1457,1457,0,0,15.746231566999995,6.702241897583008,0.3036107133329937,1.5962870852457962
1,28,107522,0,42010161,0.001,421,420,1,0,10.958063650999975,6.688138484954834,0.7652040027436756,2.321183122907366
1,29,284527,0,42010162,0.001,1112,1111,1,0,13.902126125999985,6.706862926483154,0.4164824258304737,2.080648372454433
1,30,1333839,0,42010163,0.001,5211,5210,1,0,36.89063377299999,6.735256195068359,0.1375913418643534,0.9867276534009117
1,31,427651,0,42010164,0.001,1671,1671,0,0,16.343215393000037,6.711721420288086,0.38261832711512567,2.054915130816128
1,32,648608,1,42010165,0.001,2534,2534,0,0,24.12209626599997,6.71978759765625,0.0983914719290308,0.6144292601093874
1,33,428065,0,42010166,0.001,1673,1673,0,0,10.895681200000013,6.703001976013184,0.37193474367715185,2.2081858469067543
1,34,375085,0,42010167,0.001,1466,1466,0,0,16.478041486999928,6.701009750366211,0.41420784360877816,2.0768216954084244
1,35,882461,0,42010168,0.001,3448,3446,2,0,20.19175554000003,6.723208427429199,0.1329243771225923,0.9561419008225116
1,36,569144,0,42010169,0.001,2224,2224,0,0,20.216266524999924,6.709500789642334,0.13040718243276472,0.7894386456167097
1,37,314555,1,42010170,0.001,1229,1229,0,0,16.089862032999918,6.723110675811768,0.43555035137179615,2.09513021892799
1,38,436745,0,42010171,0.001,1707,1706,1,0,18.455894816000068,6.703328609466553,0.3015201474689515,1.7086904331220691
1,39,261664,0,42010172,0.001,1023,1022,1,0,14.2037803180001,6.695033073425293,0.406263497011069,1.9145665476700098
1,40,638454,0,42010173,0.001,2494,2493,1,0,18.375596007000013,6.7360663414001465,0.1678368744006656,0.9327224627394204
1,41,398139,1,42010174,0.001,1556,1556,0,0,16.166139855999972,6.702937602996826,0.3857660367127249,1.8692835633736342
1,42,242816,0,42010175,0.001,949,949,0,0,12.27344128499999,6.710310459136963,0.4882142013694514,2.2096792367788463
1,43,323428,1,42010176,0.001,1264,1264,0,0,14.151942268000084,6.705869197845459,0.4869304125822043,2.07508463799199
1,44,451037,0,42010177,0.001,1762,1762,0,0,13.818783982000014,6.730093955993652,0.2281179438925493,1.2515007304820516
1,45,265076,1,42010178,0.001,1036,1036,0,0,12.765989666999985,6.7089691162109375,0.38575983231592365,1.959396656875905
1,46,266508,0,42010179,0.001,1042,1041,1,0,14.173422133000031,6.695252418518066,0.4639577141870797,1.6202169779283742
1,47,506010,0,42010180,0.001,1977,1976,1,0,20.736488188000067,6.717012405395508,0.4234078905360419,2.2578957746868675
1,48,303421,0,42010181,0.001,1186,1186,0,0,13.716100359999928,6.696913242340088,0.47606814611219433,2.390463200226602
1,49,209704,0,42010182,0.001,820,820,0,0,12.760724285999913,6.693363666534424,0.7682804758955792,2.693185499237805
1,50,548954,1,42010183,0.001,2145,2144,1,0,19.011913419000052,6.708764553070068,0.32666439796561625,1.754004635027985
1,51,554220,0,42010184,0.001,2165,2164,1,0,15.833038948999956,6.733219146728516,0.25212049219833066,1.3541581300181955
1,52,239391,0,42010185,0.001,936,936,0,0,5.545816388000048,6.694125175476074,0.36741031744541264,1.9972332033336673
1,53,490494,0,42010186,0.001,1916,1916,0,0,14.645230795999964,6.735689163208008,0.2963799972374902,1.7590372806302192
1,54,160756,1,42010187,0.001,628,628,0,0,7.9284213960002035,6.732199192047119,0.4870015527032743,1.8997942687599523
1,55,166616,1,42010188,0.001,651,651,0,0,11.716545121000081,6.727295398712158,0.49501485282558083,1.8682548183083718
1,56,349089,0,42010189,0.001,1364,1364,0,0,16.877935819999948,6.717752933502197,0.29006767832288993,1.4506290916823221
1,57,813153,1,42010190,0.001,3177,3177,0,0,25.279116958999907,6.721507549285889,0.14318166606111798,0.9477932515443028
1,58,309917,1,42010191,0.001,1211,1211,0,0,16.60445318500001,6.71669340133667,0.5506169439641825,2.421124232297688
