round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
1,0,3352748,1,42010133,0.001,6549,6546,3,0,49.142453697000064,6.835906505584717,0.25050375915396805,1.0172200073279483
1,1,1783872,1,42010134,0.001,3485,3484,1,0,27.83527919900007,6.764886379241943,0.23196652890894087,1.03724398870282
1,2,2652819,1,42010135,0.001,5182,5180,2,0,42.01254347999998,6.803313255310059,0.16370641052953064,0.7787386507601352
1,3,1455566,1,42010136,0.001,2843,2842,1,0,21.134770275999927,6.772463798522949,0.4158315316293543,1.7208592994040288
1,4,1864534,1,42010137,0.001,3642,3640,2,0,25.780503660000022,6.768101692199707,0.46749066363324177,1.7275684398609203
1,5,1932238,0,42010138,0.001,3774,3773,1,0,27.095310583000128,6.775141716003418,0.33004140360994233,1.3808265036940102
1,6,3372587,1,42010139,0.001,6588,6584,4,0,48.96304305300009,6.827610492706299,0.24520213983473194,1.408623177399757
1,7,1472203,0,42010140,0.001,2876,2874,2,0,26.50287021300005,6.751810073852539,0.5142955209284751,1.6235611503457725
1,8,2845626,1,42010141,0.001,5558,5555,3,0,37.60555557999987,6.812270164489746,0.27994304557408867,1.470067788028803
1,9,1240841,0,42010142,0.001,2424,2421,3,0,18.495463571999835,6.743367671966553,0.36671240395723614,1.5052553261178232
1,10,2671366,0,42010143,0.001,5218,5216,2,0,39.43843208299995,6.803866386413574,0.3366802192173121,1.2514097061625287
1,11,1851046,0,42010144,0.001,3616,3615,1,0,30.98488030800013,6.766624927520752,0.24758542220457297,1.155119861903527
1,12,1495960,1,42010145,0.001,2922,2922,0,0,26.15481382500002,6.763073921203613,0.3665904750732589,1.4600204269336072
1,13,1779645,0,42010146,0.001,3476,3475,1,0,24.56870182900002,6.772190570831299,0.2779330422380845,1.1393410662095325
1,14,3063594,0,42010147,0.001,5984,5983,1,0,43.46954983399996,6.823249340057373,0.11206288300249144,0.5780466530168812
1,15,1212957,1,42010148,0.001,2370,2369,1,0,15.505754040000056,6.737883567810059,0.5117287464713487,2.058050024403757
1,16,870217,0,42010149,0.001,1700,1699,1,0,13.532801492999852,6.744558811187744,0.4417227059690443,1.8091336183508682
1,17,5890990,0,42010150,0.001,11506,11502,4,0,71.18874766299996,6.940572738647461,0.14191572746180012,0.618762039346418
1,18,1063458,1,42010151,0.001,2078,2076,2,0,14.389594395999893,6.731150150299072,0.3173796666610218,1.3102686299524327
1,19,1173148,0,42010152,0.001,2292,2291,1,0,24.15193156800001,6.736090660095215,0.2974247693078896,1.1669611770583261
2,0,3352748,1,42020140,1e-05,6549,6546,3,0,39.24170096399985,6.83604621887207,0.42303558172452643,1.1184498256330202
2,1,1783872,1,42020141,1e-05,3485,3485,0,0,20.501050477000035,6.763737678527832,0.467566951275556,1.1297443143606527
2,2,2652819,1,42020142,1e-05,5182,5180,2,0,31.166124571999944,6.8028788566589355,0.2970035508792833,0.9743165947755792
2,3,1455566,1,42020143,1e-05,2843,2843,0,0,16.78118285100004,6.748951435089111,0.7656259446172617,1.4328694861831692
2,4,1864534,1,42020144,1e-05,3642,3640,2,0,21.72837755799992,6.7673726081848145,0.830982183100103,1.5516192425738324
2,5,1932238,0,42020145,1e-05,3774,3773,1,0,21.903842941999983,6.770422458648682,0.6216160672873046,1.459923277854161
2,6,3372587,1,42020146,1e-05,6588,6585,3,0,39.259180362999814,6.828413963317871,0.41350258933656037,1.3440575764047076
2,7,1472203,0,42020147,1e-05,2876,2876,0,0,16.716275585999938,6.7502360343933105,0.862326503960579,1.4836760243719576
2,8,2845626,1,42020148,1e-05,5558,5556,2,0,33.19458263399997,6.811561584472656,0.5568133602046211,1.689723103401728
2,9,1240841,0,42020149,1e-05,2424,2423,1,0,14.129344442000047,6.7392802238464355,0.7686955998665136,1.7296677108053033
2,10,2671366,0,42020150,1e-05,5218,5217,1,0,31.240929391999998,6.803714275360107,0.61819167280645,1.2678555383841288
2,11,1851046,0,42020151,1e-05,3616,3616,0,0,21.03076499000008,6.7667646408081055,0.4446479324745921,1.1351479049277517
2,12,1495960,1,42020152,1e-05,2922,2921,1,0,17.21036616499987,6.7507710456848145,0.8213382082334817,1.8131974013608354
2,13,1779645,0,42020153,1e-05,3476,3476,0,0,20.0006995440001,6.763546943664551,0.46315450196436275,1.094695728859501
2,14,3063594,0,42020154,1e-05,5984,5984,0,0,35.04176752699982,6.821379661560059,0.21033088153696314,0.7779618533537349
2,15,1212957,1,42020155,1e-05,2370,2369,1,0,14.01511769700005,6.738023281097412,1.1578621113536829,2.147048505764563
2,16,870217,0,42020156,1e-05,1700,1699,1,0,9.697211610000068,6.7225871086120605,1.1817845372047895,2.6202292708946437
2,17,5890990,0,42020157,1e-05,11506,11502,4,0,67.39673207500005,6.940850734710693,0.2418325600303208,0.8613410303642844
2,18,1063458,1,42020158,1e-05,2078,2077,1,0,12.220544978999897,6.731289863586426,0.6612436572806332,1.5536468755642152
2,19,1173148,0,42020159,1e-05,2292,2292,0,0,13.255509413000027,6.736230373382568,0.5256397187397742,1.1896476279586605
