round,lr,n_params,sparsity,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,loss_client_mean,loss_client_std,loss_client_min,loss_client_max,gnorm_client_mean,gnorm_client_std,gnorm_client_min,gnorm_client_max,sec_client_mean,steps,applied,skipped,model_mib,comm_mib,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,0.001,35891,0.7,0.29407203171574403,0.35820763638723974,0.29407203171574403,0.5014444933902273,0.12656970976824336,0.29407203171574403,0.29407203171574403,0.09693474315399098,0.29407203171574403,0.2657595227502894,0.3157863339875424,0.11195261826516271,0.11188979740327754,0.5124860430394268,1.312981322470836,0.38537844211611716,0.5675667546258567,2.058050024403757,35.8857447944,84083,84049,34,0.14063262939453125,5.62530517578125,362.66195046300004,5.867309470999999,6.940572738647461,6.9698286056518555,compiled,368.56334215800007
2,0.0009989829694114164,35891,0.7,0.7636492025205405,0.7341198357784202,0.7636492025205405,0.767444344409972,0.6424164464579958,0.7636492025205405,0.7636492025205404,0.6501937542020402,0.7636492025205405,0.7419040843129141,0.2399369637988062,0.08216788277148147,0.08588289281908225,0.40541508833235473,1.2361756299381528,0.3789242208817664,0.5287254586023696,1.9289733191088012,28.683493942949998,84083,84049,34,0.14063262939453125,5.62530517578125,293.13280248399997,4.097229592000076,6.940850734710693,6.731127738952637,compiled,297.26422923400014
3,0.0009959360568425068,35891,0.7,0.7568393647521504,0.7643911625748695,0.7568393647521504,0.785399127244478,0.7344134424587,0.7568393647521504,0.7568393647521503,0.7349654038699853,0.7568393647521504,0.7614203280240563,0.1905232349369157,0.06243230329540613,0.07034752811801172,0.3359081504572243,1.2624932689449495,0.43807426309789543,0.5861572306444366,2.234429070028529,28.26685949215001,84083,84035,48,0.14063262939453125,5.62530517578125,287.57682413299995,4.348559079999859,6.948785305023193,6.731127738952637,compiled,291.9507477940001
4,0.0009908717827105773,35891,0.7,0.7483420981935062,0.7632915838784143,0.7483420981935062,0.7851715503341092,0.7677088631549494,0.7483420981935062,0.7483420981935062,0.7524224524266002,0.7483420981935062,0.7503409522792404,0.16204260072800677,0.05316770232945315,0.061959531191220114,0.29094942745496866,1.2088890878371283,0.38911056964619034,0.5839611487810358,2.135505476344569,28.843090853750006,84083,84029,54,0.14063262939453125,5.62530517578125,293.4410371409999,4.194758932000013,6.948785305023193,6.731127738952637,compiled,297.660400578
5,0.0009838109572043196,35891,0.7,0.7610750814280337,0.7749252763757495,0.7610750814280337,0.7895213106770045,0.7722399560698221,0.7610750814280337,0.7610750814280336,0.7603645110526382,0.7610750814280337,0.7624783993405042,0.14535671790780963,0.047296041428831946,0.05658728939656569,0.2632038538540579,1.1107830378871708,0.33414987154585657,0.5470470944449088,1.8886772384611323,28.97003299930002,84083,84031,52,0.14063262939453125,5.62530517578125,295.0521585319998,4.192385228000148,6.948785305023193,6.731127738952637,compiled,299.27120234799986
6,0.000974782594770281,35891,0.7,0.7628895389729702,0.7932875645115702,0.7628895389729702,0.8014869172908254,0.7813668685703474,0.7628895389729702,0.7628895389729702,0.7734802865580963,0.7628895389729702,0.7679017032988441,0.1349727242756217,0.043581041598824234,0.053389035983740174,0.2431327803896464,1.0419118064219577,0.2979843871137626,0.5132007787028716,1.7299016338229078,27.87703608595002,84083,84033,50,0.14063262939453125,5.62530517578125,283.3098443399999,4.240011007999783,6.948785305023193,6.731127738952637,compiled,287.573322275
7,0.0009638237948862808,35891,0.7,0.753693474875766,0.7880981031176035,0.753693474875766,0.7968198415662981,0.7829450563124067,0.753693474875766,0.753693474875766,0.7711025606273516,0.753693474875766,0.7575797149422068,0.12751729037270396,0.041063775541450624,0.05087932253792628,0.23066551086383308,0.9914525951956772,0.28195955079993856,0.48652990220661985,1.6552211437539608,24.720630026599952,84083,84033,50,0.14063262939453125,5.62530517578125,251.23196856699997,4.061523116999979,6.948785305023193,6.731127738952637,compiled,255.31720949600003
8,0.0009509795896116975,35891,0.7,0.746985668982022,0.7854895808443902,0.746985668982022,0.7935260284049387,0.7842898699336871,0.746985668982022,0.746985668982022,0.7684139606858174,0.746985668982022,0.7485825029463371,0.12168009941495869,0.03880557853878585,0.0491145780277029,0.2192678219258329,0.9601149682476136,0.2701032215810469,0.46946315835527413,1.5487595345835974,24.007062989299992,84083,84034,49,0.14063262939453125,5.62530517578125,244.164679427,4.059686613999929,6.948785305023193,6.731127738952637,compiled,248.24855906099992
9,0.0009363027585410778,35891,0.7,0.7459683238421078,0.7752317024133588,0.7459683238421078,0.7864269876051706,0.7829425131700165,0.7459683238421078,0.7459683238421078,0.7626520338008803,0.7459683238421078,0.744855869402299,0.11729062694496792,0.03750666493690746,0.04718780262499739,0.21110510245411448,0.9335382373813029,0.2571338017473175,0.4539883893216107,1.4702394022744083,25.222127813899988,84083,84032,51,0.14063262939453125,5.62530517578125,256.25816287399994,4.092741448000197,6.948785305023193,6.731127738952637,compiled,260.37548781199985
10,0.0009198536119214611,35891,0.7,0.7394307569231833,0.7763425248240456,0.7394307569231833,0.7857068778073897,0.7799268494004984,0.7394307569231833,0.7394307569231833,0.7591846874292247,0.7394307569231833,0.7377777737815355,0.11369157381916581,0.036386972350839125,0.04593150628846817,0.2054822015198221,0.9091279367470877,0.249547575402832,0.4394469612758109,1.425425714413023,26.311685491100025,84083,84035,48,0.14063262939453125,5.62530517578125,267.87269452799956,4.147834977999992,6.948785305023193,6.731127738952637,compiled,272.0446250279997
11,0.0009016997428246386,35891,0.7,0.7467753792440218,0.7795496073530586,0.7467753792440218,0.7874955735595288,0.7791193721033587,0.7467753792440218,0.7467753792440219,0.7611801792648859,0.7467753792440218,0.7462827824783731,0.11048504997594182,0.035122633040598684,0.04491883446563649,0.1996817680027174,0.8838883467891119,0.23786935334157688,0.43071507817724003,1.3868625320157373,27.224373597950056,84083,84038,45,0.14063262939453125,5.62530517578125,277.2720380139999,4.050447197000267,6.948785305023193,6.731127738952637,compiled,281.34765502799974
12,0.0008819157493927215,35891,0.7,0.7390551532462073,0.775821264263225,0.7390551532462073,0.7857351562812869,0.7790935494389314,0.7390551532462073,0.7390551532462073,0.7575215693653974,0.7390551532462073,0.7372155817788657,0.10791574953857827,0.03415266765156166,0.04396401994884393,0.19400608431737126,0.8690438200768311,0.23024428085891052,0.4262288003332915,1.3409007644169835,25.776448184450032,84083,84037,46,0.14063262939453125,5.62530517578125,262.03363117399977,4.2236041050000495,6.948785305023193,6.731127738952637,compiled,266.2815650429998
13,0.0008605829282983752,35891,0.7,0.7451928630097563,0.778453372991985,0.7451928630097563,0.7865146537703929,0.7792058392395732,0.7451928630097563,0.7451928630097563,0.760645175814596,0.7451928630097563,0.7448956872905641,0.10557866449130368,0.03344350961529433,0.042850537117538876,0.19039100713315218,0.8573441627545003,0.22539717518877733,0.4165492973844257,1.325486672891153,23.969413310450044,84083,84038,45,0.14063262939453125,5.62530517578125,243.76079592899987,4.018238132999613,6.948785305023193,6.731127738952637,compiled,247.80188601200007
14,0.0008377889406793518,35891,0.7,0.7412132481977389,0.7793118957494253,0.7412132481977389,0.7861409157557169,0.778217789859875,0.7412132481977389,0.7412132481977388,0.7595136476697668,0.7412132481977389,0.7407386002531638,0.1036715038385652,0.03279576227287244,0.042320867582141625,0.18714920712911012,0.849639999428127,0.21995078520192657,0.41501861199788914,1.298475271143589,23.51745099450004,84083,84037,46,0.14063262939453125,5.62530517578125,239.38220438999997,4.079593221999858,6.948785305023193,6.731127738952637,compiled,243.4847999700005
15,0.0008136274519200731,35891,0.7,0.7463249707773463,0.7793441590254515,0.7463249707773463,0.7874574733593716,0.7789518131917905,0.7463249707773463,0.7463249707773463,0.7607975615658745,0.7463249707773463,0.7459834574135356,0.10196984576386181,0.03220655423793472,0.041695985376376525,0.1835391284196677,0.8403447891599696,0.21719938544836445,0.40603687690676193,1.2735053684120194,23.483970153949986,84083,84032,51,0.14063262939453125,5.62530517578125,239.09179495399985,4.026908208999885,6.948785305023193,6.731127738952637,compiled,243.14048508500036
16,0.000788197746760474,35891,0.7,0.7481641464267053,0.7789657821569653,0.7481641464267053,0.7862929721991224,0.7827576392917174,0.7481641464267053,0.7481641464267053,0.7641583246678927,0.7481641464267053,0.7482767288803975,0.10048918240921587,0.031891828972940794,0.04100978625573987,0.18217509673881133,0.8321053415056742,0.21006896895870408,0.4090979807913323,1.2470590746080554,23.372894847600172,84083,84037,46,0.14063262939453125,5.62530517578125,237.9867177239994,4.067598046999592,6.948785305023193,6.731127738952637,compiled,242.0766414109994
17,0.00076160432131371,35891,0.7,0.7441650173217228,0.778528229232253,0.7441650173217228,0.7864059620939945,0.7779634892114939,0.7441650173217228,0.7441650173217227,0.7588623705442288,0.7441650173217228,0.7433828957000319,0.09918412882189602,0.03144148591086036,0.04045049364083269,0.17929765227443242,0.8301412823416598,0.2104578182353281,0.40789020374414814,1.2468367956537811,23.170822409649965,84083,84037,46,0.14063262939453125,5.62530517578125,236.03329858000052,4.079602527999668,6.948785305023193,6.731127738952637,compiled,240.13519966500007
18,0.0007339564536692134,35891,0.7,0.7473635957891129,0.7789337926019592,0.7473635957891129,0.7863819035054166,0.7840997969864544,0.7473635957891129,0.7473635957891129,0.7641081364255029,0.7473635957891129,0.7463126715485305,0.09804926438749027,0.031258672861870916,0.039939301343157076,0.17775887188682477,0.8296863583656998,0.20978481698509055,0.4073682228325602,1.2531146487674198,23.492021211549947,84083,84036,47,0.14063262939453125,5.62530517578125,239.1865656739992,4.041214040999876,6.948785305023193,6.731127738952637,compiled,243.2523431519994
19,0.000705367754845585,35891,0.7,0.7397932581463113,0.7679039627521129,0.7397932581463113,0.7815575612496184,0.7737258629910988,0.7397932581463113,0.7397932581463114,0.75183725497238,0.7397932581463113,0.7398086344026047,0.09702299439500506,0.031101300198828286,0.03946505705674968,0.17706236178956267,0.8287687004335226,0.20660051335733448,0.4065947435405174,1.2150261337692674,23.382520190900003,84083,84034,49,0.14063262939453125,5.62530517578125,238.06491545599965,4.074858365999717,6.948785305023193,6.731127738952637,compiled,242.16517844099963
20,0.0006759557019385474,35891,0.7,0.7459523407069173,0.7816908552169977,0.7459523407069173,0.7893368701322798,0.7867927215294941,0.7459523407069173,0.7459523407069173,0.7675102436462607,0.7459523407069173,0.7457062547792552,0.09626134172465023,0.03092059075587053,0.03897899753949348,0.17576455771300886,0.8315675400128534,0.20887025586228047,0.4090611270660941,1.2188704715885086,23.461414000349986,84083,84032,51,0.14063262939453125,5.62530517578125,238.7284882439999,4.0560569750005016,6.948785305023193,6.731127738952637,compiled,242.8065401370004
21,0.000645841155382361,35891,0.7,0.7328457981499149,0.7743256964505141,0.7328457981499149,0.7830692466415665,0.7752919211718359,0.7328457981499149,0.732845798149915,0.7542177093054601,0.7328457981499149,0.7345191349810487,0.0955510389225125,0.030852957956445964,0.038805806967615084,0.17518032766831942,0.8344437849311397,0.20713312495579064,0.4092580883927825,1.2215505032925993,23.19953151409991,84083,84034,49,0.14063262939453125,5.62530517578125,236.16667828899972,4.044346427999699,6.948785305023193,6.731127738952637,compiled,240.2339109730001
22,0.0006151478623083757,35891,0.7,0.7456573031823258,0.78127093741198,0.7456573031823258,0.7890953800155558,0.7840342318341695,0.7456573031823258,0.7456573031823258,0.7648488038636225,0.7456573031823258,0.7457559518539632,0.09467552045383423,0.030519461651186974,0.038289209465962995,0.1733115348205354,0.8409201524250639,0.20878760928090348,0.4139651212752842,1.2254405666042019,23.1236541591501,84083,84034,49,0.14063262939453125,5.62530517578125,235.6437374370007,4.08299735699984,6.948785305023193,6.731127738952637,compiled,239.74949866499992
23,0.0005840019480415229,35891,0.7,0.7455051846224026,0.7833938214426535,0.7455051846224026,0.7899017767819552,0.7858093107174529,0.7455051846224026,0.7455051846224027,0.7672123121681566,0.7455051846224026,0.7455606329861526,0.09398099444435154,0.03033118914496045,0.03811654435556017,0.17224989687309716,0.847549299637125,0.2115240991670784,0.4170075738282556,1.2247322701119088,23.011568684549957,84083,84032,51,0.14063262939453125,5.62530517578125,234.2702666819996,4.044038686000022,6.948785305023193,6.731127738952637,compiled,238.33579255600034
24,0.0005525313978243026,35891,0.7,0.7424976603756613,0.7812451297490809,0.7424976603756613,0.7888433652557705,0.7804836320688555,0.7424976603756613,0.7424976603756612,0.7625478027216243,0.7424976603756613,0.7445243328932456,0.09371741427495237,0.030353049502799895,0.03764623337786798,0.17226506009563108,0.856310733471156,0.21288900265037303,0.4176186192039661,1.2261401274358366,24.278808570900036,84083,84035,48,0.14063262939453125,5.62530517578125,247.05231400199955,4.041121330999886,6.948785305023193,6.731127738952637,compiled,251.11742938600037
25,0.0005208655308979695,35891,0.7,0.7508953111149789,0.7835855354701738,0.7508953111149789,0.7904318120614796,0.7866133182395462,0.7508953111149789,0.7508953111149789,0.7691149600574466,0.7508953111149789,0.7514818906203473,0.0930133144002183,0.030223634413521053,0.037488232287171096,0.1717413767560456,0.8651190333270001,0.21619297765596968,0.4233568654254096,1.240998345452386,24.709531925600004,84083,84032,51,0.14063262939453125,5.62530517578125,251.33615879199988,4.179211227999986,6.948785305023193,6.731127738952637,compiled,255.54129665900018
26,0.0004891344691020307,35891,0.7,0.7444082955073544,0.7816226234956636,0.7444082955073544,0.7895063040407647,0.7856766046220929,0.7444082955073544,0.7444082955073543,0.7657448565298992,0.7444082955073544,0.7444683152976516,0.09276302039432073,0.03020369344663841,0.03705516319058086,0.17062478805467662,0.8715999492961911,0.2157074422661206,0.42316773726126294,1.2427426931020376,25.90407872945002,84083,84032,51,0.14063262939453125,5.62530517578125,263.65821206500004,4.268523642000218,6.948785305023193,6.731127738952637,compiled,267.95058220699957
27,0.00045746860217569754,35891,0.7,0.7540738177381764,0.7863477054543719,0.7540738177381764,0.7932100335814118,0.7888356176884248,0.7540738177381764,0.7540738177381763,0.7725258841707806,0.7540738177381764,0.7558379886085219,0.09251052394293224,0.03010209744670456,0.03708147496368709,0.16965382380473917,0.8857985284313786,0.2217346328165117,0.4340658259619002,1.2617065790689692,24.899481162800022,84083,84033,50,0.14063262939453125,5.62530517578125,253.01192579500002,4.028810196999984,6.948785305023193,6.731127738952637,compiled,257.063110909
28,0.0004259980519584773,35891,0.7,0.7461551964285499,0.7776516190591208,0.7461551964285499,0.7883622800279637,0.7801007210738367,0.7461551964285499,0.7461551964285498,0.7613834947551863,0.7461551964285499,0.7489622155675439,0.09232011867616768,0.030192160641100852,0.03674490879866161,0.16970446114749152,0.8988382759748783,0.22405890105528545,0.43628178644004934,1.2851298564189189,23.947709884150072,84083,84033,50,0.14063262939453125,5.62530517578125,243.52210497799933,4.184697061999941,6.948785305023193,6.731127738952637,compiled,247.72996786599924
29,0.00039485213769162444,35891,0.7,0.7549135828121081,0.7848069322326393,0.7549135828121081,0.7920581151392716,0.7891584301236583,0.7549135828121081,0.7549135828121081,0.7718277370908491,0.7549135828121081,0.7558962735039049,0.09247729683564349,0.03029451635482462,0.03655871155468881,0.16905273989662165,0.914094974192549,0.22797648640966947,0.4494337455980396,1.2988950651206697,23.69474633660011,84083,84025,58,0.14063262939453125,5.62530517578125,241.19642242400005,4.015551593999589,6.948785305023193,6.731127738952637,compiled,245.23474238200015
30,0.00036415884461763896,35891,0.7,0.7513737829934424,0.7835432871683152,0.7513737829934424,0.7921771746184394,0.7870489588196079,0.7513737829934424,0.7513737829934424,0.768546428963199,0.7513737829934424,0.7520258357662893,0.09252559555672611,0.03040841190548449,0.03652565617180317,0.1697150159396475,0.928725832221412,0.23284600758764318,0.45632576440258277,1.3226302372135086,23.531949157099962,84083,84031,52,0.14063262939453125,5.62530517578125,239.39118997999958,4.147595263999392,6.948785305023193,6.731127738952637,compiled,243.5622165470004
31,0.00033404429806145283,35891,0.7,0.7495644363347586,0.7835694864756206,0.7495644363347586,0.7919683470710766,0.7857682142047684,0.7495644363347586,0.7495644363347587,0.7675632885298642,0.7495644363347586,0.7510374114611258,0.09266425058399444,0.030436850270239027,0.036505299414944195,0.1704870129759808,0.944117199059559,0.2338006661428564,0.4633558841278632,1.322846499597686,23.855595538799935,84083,84031,52,0.14063262939453125,5.62530517578125,242.8868689589999,4.0312488640011,6.948785305023193,6.731127738952637,compiled,246.9410255319999
32,0.00030463224515441515,35891,0.7,0.7528944110414472,0.7854231085715404,0.7528944110414472,0.7933109117221246,0.7894120462104762,0.7528944110414472,0.752894411041447,0.7716894094922995,0.7528944110414472,0.7543232252034675,0.09304319117044405,0.03062738741504877,0.03627140934114192,0.17046628565778313,0.9605038028164639,0.2386589778440843,0.4686587023440112,1.372141305209214,25.56419613520029,84083,84031,52,0.14063262939453125,5.62530517578125,259.9471699780006,4.052310394001324,6.948785305023193,6.731127738952637,compiled,264.0231576260012
33,0.00027604354633078667,35891,0.7,0.7524748537426974,0.7873998540821682,0.7524748537426974,0.7945377660269429,0.7917556697107793,0.7524748537426974,0.7524748537426973,0.7737170212097354,0.7524748537426974,0.7536126806167249,0.09362957380516232,0.03096286452517287,0.036311152307828956,0.1714878387557357,0.9814902898438225,0.2458052374450626,0.4798368254028382,1.3932120448484369,26.30287887380009,84083,84025,58,0.14063262939453125,5.62530517578125,267.4545239079998,4.032240508000541,6.948785305023193,6.731127738952637,compiled,271.5123341039998
34,0.0002483956786862901,35891,0.7,0.7531119489454058,0.7874006343980062,0.7531119489454058,0.7952667767012,0.7959609639171551,0.7531119489454058,0.7531119489454059,0.7763332112411596,0.7531119489454058,0.7537670209184459,0.09429966167054521,0.03125171108941677,0.03659334423509734,0.17321214563081724,1.0015475413714625,0.25297889067405877,0.48185028142503344,1.4151752575023755,26.82247066994996,84083,84025,58,0.14063262939453125,5.62530517578125,272.8607129469983,4.023911471000247,6.948785305023193,6.731127738952637,compiled,276.9120082919999
35,0.00022180225323952595,35891,0.7,0.7532467834172742,0.7862824387848251,0.7532467834172742,0.793986617361455,0.7905786653788678,0.7532467834172742,0.7532467834172742,0.7725831981926725,0.7532467834172742,0.7548367385759738,0.09518591465771131,0.03163999514748661,0.036708508421198376,0.17463651164671407,1.0259783570739947,0.2589621191362324,0.49215043601613445,1.4491122477763407,27.191683263149844,84083,84028,55,0.14063262939453125,5.62530517578125,276.4492388889994,4.1517194810003275,6.948785305023193,6.731127738952637,compiled,280.6274410440001
36,0.00019637254807992693,35891,0.7,0.7552428168119908,0.7886576680667612,0.7552428168119908,0.7957840727387764,0.7954996586907421,0.7552428168119908,0.7552428168119909,0.7772781116113876,0.7552428168119908,0.7566272285931748,0.09641137255321079,0.03214299300342555,0.03683493364975417,0.17685924044232776,1.0508801804767904,0.2693528514937562,0.4991500999911177,1.4962827321645376,27.33567567325008,84083,84025,58,0.14063262939453125,5.62530517578125,278.0407096350009,4.190083759000117,6.948785305023193,6.731127738952637,compiled,282.2559555730004
37,0.00017221105932064813,35891,0.7,0.7555123928305231,0.7882161242490842,0.7555123928305231,0.7957780376088222,0.7996841397177752,0.7555123928305231,0.7555123928305232,0.7798811063713,0.7555123928305231,0.7564345027372639,0.09789784509840294,0.0327932558946083,0.03717639274450473,0.179914772572768,1.0803267736510502,0.27951013682280007,0.5160035179761955,1.5403861620525008,27.39472538639984,84083,84021,62,0.14063262939453125,5.62530517578125,278.918278905001,4.052515762001349,6.948785305023193,6.731127738952637,compiled,282.9960292140004
38,0.00014941707170162489,35891,0.7,0.7543774973067953,0.7891778296049832,0.7543774973067953,0.7966445146716754,0.794253294900054,0.7543774973067953,0.7543774973067952,0.7762270963889768,0.7543774973067953,0.7560846952807074,0.09979066334913703,0.033588671006330964,0.03774177043663543,0.18257038609059564,1.1107647783251733,0.2909862059960914,0.5194396666562187,1.5950692051515631,26.388926570799686,84083,84026,57,0.14063262939453125,5.62530517578125,268.70434069099974,4.19556300000113,6.948785305023193,6.731127738952637,compiled,272.9254512669995
39,0.00012808425060727857,35891,0.7,0.7574979256771204,0.7883819776697808,0.7574979256771204,0.7962486907706702,0.7952589171235693,0.7574979256771204,0.7574979256771204,0.7774687078885666,0.7574979256771204,0.7592220729219534,0.10183643943074841,0.03433801002997462,0.038316709782801786,0.18619651502424756,1.1457141768816315,0.30150852849730075,0.5284081965939015,1.6599013200154162,25.806461462050084,84083,84022,61,0.14063262939453125,5.62530517578125,262.53282662700076,4.182259345998318,6.948785305023193,6.731127738952637,compiled,266.73909576799997
40,0.00010830025717536152,35891,0.7,0.7591806152819401,0.7889982795156324,0.7591806152819401,0.7974632738028483,0.7974634996202082,0.7591806152819401,0.7591806152819403,0.779755781199835,0.7591806152819401,0.7613763671381804,0.10468857895397607,0.03557841341658673,0.03897148301979707,0.1918050597422473,1.1817203751276688,0.31481521347854496,0.5489542976587318,1.7331065393221137,24.94338009964995,84083,84022,61,0.14063262939453125,5.62530517578125,253.5997966169998,4.052751356000954,6.948785305023193,6.731127738952637,compiled,257.67498124300073
41,9.01463880785389e-05,35891,0.7,0.7569636986758995,0.7905808878580969,0.7569636986758995,0.7980726953255258,0.7948148727092277,0.7569636986758995,0.7569636986758994,0.7777155952786262,0.7569636986758995,0.7591962427252075,0.10775919722231604,0.03674914992641258,0.03985691118391835,0.19685352616222154,1.2208919471182322,0.32870165339797264,0.5572116471038497,1.8090840385727132,25.58319139915011,84083,84024,59,0.14063262939453125,5.62530517578125,260.1944599520011,4.24197480300063,6.948785305023193,6.731127738952637,compiled,264.4619732050014
42,7.369724145892235e-05,35891,0.7,0.7578217700151366,0.791390705108115,0.7578217700151366,0.7983289513907365,0.793309068222489,0.7578217700151366,0.7578217700151366,0.777568902889382,0.7578217700151366,0.7609895908225706,0.11194977100535156,0.03848072579765796,0.04108363399932872,0.20422240063739994,1.2688534368764617,0.3492969712135565,0.5681042558012579,1.887758877719253,24.7806348512001,84083,84026,57,0.14063262939453125,5.62530517578125,252.03625318000013,4.21926351699949,6.948785305023193,6.731127738952637,compiled,256.27926778599976
