cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.664326,0.638981,0.664326,0.712908,0.612031,0.664326,0.664326,0.557825,0.664326,0.655580
1,0.480013,0.629960,0.480013,0.705310,0.701561,0.480013,0.480013,0.572754,0.480013,0.430122
2,0.683120,0.760481,0.683120,0.760217,0.675570,0.683120,0.683120,0.660776,0.683120,0.681703
3,0.618174,0.699845,0.618174,0.740245,0.737457,0.618174,0.618174,0.669726,0.618174,0.621368
4,0.653380,0.647889,0.653380,0.738031,0.711076,0.653380,0.653380,0.615890,0.653380,0.647872
5,0.657494,0.726994,0.657494,0.753315,0.689272,0.657494,0.657494,0.670457,0.657494,0.676362
6,0.720875,0.700376,0.720875,0.743539,0.693508,0.720875,0.720875,0.678038,0.720875,0.722091
7,0.637587,0.730230,0.637587,0.759327,0.701711,0.637587,0.637587,0.683656,0.637587,0.651192
8,0.678459,0.656753,0.678459,0.716306,0.709203,0.678459,0.678459,0.661118,0.678459,0.677069
9,0.488304,0.668104,0.488304,0.699671,0.693069,0.488304,0.488304,0.602628,0.488304,0.447021
10,0.709207,0.805397,0.709207,0.816008,0.798776,0.709207,0.709207,0.768858,0.709207,0.693424
11,0.631832,0.710092,0.631832,0.735458,0.710145,0.631832,0.631832,0.669350,0.631832,0.630676
12,0.546195,0.684784,0.546195,0.712674,0.681848,0.546195,0.546195,0.605750,0.546195,0.509040
13,0.697037,0.793242,0.697037,0.809314,0.769980,0.697037,0.697037,0.734651,0.697037,0.682635
14,0.638717,0.760247,0.638717,0.802802,0.704673,0.638717,0.638717,0.655690,0.638717,0.624052
15,0.530015,0.687265,0.530015,0.741171,0.738441,0.530015,0.530015,0.627740,0.530015,0.493813
16,0.505109,0.662684,0.505109,0.725710,0.733904,0.505109,0.505109,0.608907,0.505109,0.449009
17,0.632203,0.688857,0.632203,0.735373,0.705260,0.632203,0.632203,0.642068,0.632203,0.599854
18,0.658491,0.703687,0.658491,0.762659,0.734562,0.658491,0.658491,0.661143,0.658491,0.634561
19,0.628075,0.687351,0.628075,0.721225,0.725696,0.628075,0.628075,0.661234,0.628075,0.627400
