benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
519284,2846,211807,319732,323378,17240,3063,481491,412,6984,46096,1941,5133,433232,12540,5957
552,153093,34,237,101,384,1212,164,3,785,169,7,0,140,562,47
13101,150,372018,7058,7884,689,97,20634,7322,202,1528,49,226,9666,1695,156
16127,346,3824,349536,8993,2491,417,17509,680,10388,8953,1575,33,8164,2401,1740
48004,340,8174,15239,337953,736,272,26991,2140,2731,4700,151,1033,19285,6100,1561
1584,143,128,944,434,1565845,282,688,16,256,399,14,9,623,2632,93
492,696,32,173,107,359,115103,128,3,488,196,6,0,140,676,6
81063,658,51873,67753,48382,3060,620,132181,3376,1159,10546,457,502,61436,2892,1091
282,14,5035,443,1009,221,40,556,456516,249,1860,75,12,38,3332,597
1873,3168,71,5643,1632,981,3046,597,57,516525,1065,1860,163,337,4240,905
1224,82,164,2921,1259,581,195,586,573,392,258856,11,5,345,2780,25
288,41,35,1157,150,161,33,185,42,363,31,37095,4,79,189,17904
12187,3,989,4557,18754,37,0,4274,44,1769,15,16,158951,2552,371,6926
104034,493,37676,63830,65940,3617,671,91869,294,2039,9807,509,1877,103107,3018,1793
59418,4169,12266,11174,248438,20233,6021,13665,70755,57474,45703,277,8915,14679,1801333,18815
189,35,9,829,65,272,26,47,62,545,11,9350,698,56,349,253816
