benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
322124,2667,89710,15367,233496,10089,1692,66644,186,2754,132671,84,636,1511602,937,477
443,153993,47,207,129,227,891,51,7,196,242,4,0,963,61,29
6416,73,390065,367,4132,245,43,3704,4582,93,4625,1,33,27847,237,12
2693,177,216,409517,1175,1016,192,2871,184,5466,1135,297,4,7694,155,385
28069,234,2823,1045,356981,608,143,3246,834,1977,15940,22,333,61746,1077,332
1682,157,126,983,623,1564597,205,288,19,411,760,4,8,3987,211,29
380,820,53,236,148,166,115211,31,7,256,364,0,0,840,78,15
47512,619,44010,36935,33404,1686,320,56837,3508,565,27812,52,98,213071,369,251
252,11,5379,611,1893,114,13,171,459253,298,749,17,8,470,790,250
1086,261,34,4943,1412,585,538,119,57,528779,895,795,58,1553,667,381
694,61,158,344,1353,228,67,147,93,180,265105,6,0,1254,303,6
152,49,5,842,107,74,7,31,27,446,61,38208,4,168,16,17560
5622,78,327,1,12387,52,0,272,9,719,3549,2,172534,12722,34,3137
59903,491,11350,3191,47211,2011,414,10519,318,895,26956,21,174,326686,261,173
86021,4264,49002,26343,758038,18412,7383,14478,292663,124032,183282,40,21816,258881,542172,6508
71,16,3,101,177,124,4,23,32,299,9,5269,897,182,20,259132
