idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled,precision_global,recall_global,f1_global
0,benign,2391136,0.22220,0.626168,0.235106,0.301827,0.171445,0.011398,0.658648,0.607725,0.235106,0.339047,0.668801,0.148945,0.243632
1,accelerationMultiplication,157490,0.01463,0.955150,0.963457,0.957911,0.029261,0.830043,0.977441,0.950176,0.963457,0.956770,0.968174,0.971986,0.970076
2,constantPositionOffset,442475,0.04112,0.589661,0.790430,0.618473,0.155623,0.297709,0.837293,0.425924,0.790430,0.553561,0.439701,0.871197,0.584434
3,constantSpeedOffset,433177,0.04025,0.734394,0.782936,0.715156,0.144598,0.084618,0.860229,0.646699,0.782936,0.708326,0.766282,0.895807,0.825998
4,dataReplay,475410,0.04418,0.456161,0.667792,0.493078,0.120515,0.258290,0.669983,0.330807,0.667792,0.442440,0.368447,0.749774,0.494092
5,dosAttack,1574090,0.14627,0.973970,0.993726,0.983596,0.011630,0.928666,0.995538,0.973372,0.993726,0.983444,0.954385,0.995265,0.974397
6,feignedBraking,118605,0.01102,0.917471,0.962500,0.937626,0.033161,0.789662,0.969461,0.911193,0.962500,0.936144,0.911204,0.972843,0.941015
7,positionMirroring,467049,0.04340,0.197965,0.280405,0.176916,0.064041,0.000899,0.250091,0.157516,0.280405,0.201718,0.180022,0.417265,0.251527
8,randomPositionOffset,470279,0.04370,0.864711,0.966747,0.907856,0.065911,0.751846,0.975463,0.845594,0.966747,0.902121,0.901375,0.973901,0.936235
9,randomSpeedOffset,542163,0.05038,0.862812,0.957051,0.902717,0.063319,0.724094,0.968648,0.844694,0.957051,0.897369,0.847397,0.967253,0.903367
10,reversedHeading,269999,0.02509,0.746408,0.946154,0.813419,0.144911,0.329526,0.960413,0.654077,0.946154,0.773460,0.741902,0.966304,0.839363
11,suddenConstantSpeed,57757,0.00537,0.640487,0.665298,0.590423,0.106830,0.303441,0.714054,0.475583,0.665298,0.554667,0.794267,0.635681,0.706180
12,suddenStop,211445,0.01965,0.910404,0.751186,0.814907,0.049472,0.659414,0.878220,0.892479,0.751186,0.815759,0.954660,0.773341,0.854487
13,timeDelayAttack,490574,0.04559,0.142373,0.243144,0.145825,0.062236,0.004762,0.231033,0.136832,0.243144,0.175116,0.151647,0.297721,0.200942
14,trafficCongestionSybil,2393335,0.22240,0.976177,0.759952,0.832325,0.165707,0.316093,0.971100,0.973714,0.759952,0.853655,0.981860,0.787970,0.874294
15,zeroSpeedReport,266359,0.02475,0.875418,0.859681,0.850035,0.097096,0.541260,0.936345,0.858567,0.859681,0.859124,0.886203,0.963249,0.923121
