benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
13070647,46899,4216232,458683,7086009,220772,44616,7682880,27098,126344,2080112,24163,46527,12494625,179643,17470
20735,3013137,2615,5524,2839,7049,23419,7456,242,40919,2882,1631,20,10779,10000,553
456385,1505,6972812,10973,151776,6816,1344,476005,396786,3741,76051,685,2016,261098,31029,478
425782,4888,47922,6273209,85936,31707,5703,527679,77486,839112,39345,91591,609,127300,31558,53713
1187351,3931,243534,50947,5782912,15713,3774,736057,103093,65502,390046,5455,52730,755485,100465,11205
114029,3623,41326,73765,14837,30886966,6855,178007,52807,11574,8773,1625,1657,37389,46307,2260
15524,14605,2172,5129,3107,5749,2284177,3586,307,14481,3389,449,7,8858,10431,129
2039226,9776,1120940,549083,943761,34166,7546,2317289,90059,35449,378208,9930,6637,1749977,43723,5210
10936,380,177244,15608,64433,4136,572,42166,8973070,8399,16910,3206,274,4830,73199,10217
77047,30359,4143,213379,237594,16234,52157,20752,5523,9992001,13134,50400,16352,44343,57973,11869
50507,1626,11489,21405,46591,7887,2522,150289,85915,14269,4929407,576,25,25441,51703,328
5891,1109,585,17371,4136,1881,608,3640,1234,47898,745,750932,210,1836,2500,314564
313090,1466,32050,8062,407967,1833,33,187095,22661,34005,73656,14856,2868168,166188,9494,88276
2618910,9981,744677,94134,1475578,46766,10342,1502467,12295,36881,455447,5193,13158,2734526,46181,4944
2011321,74437,704885,446522,6018485,457810,121539,501084,3044805,1536264,1622535,11421,467761,2003476,28723516,120839
5805,781,419,12860,8672,3445,656,2664,3649,19309,292,739150,23186,2316,5346,4498630
