benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
54077537,196970,24290232,27153176,31343568,1053832,205992,44592394,60005,1270868,3735772,812037,790954,46877698,1584422,1068143
85239,15053835,10922,35430,14758,31915,91170,36879,407,243989,14068,8641,27,36537,81090,4093
1962868,8663,33721461,832327,930463,43733,7222,2982308,1660784,40515,140384,29638,34713,1570693,242790,38938
3186252,29634,758857,27534504,1346230,156829,28516,3122226,133195,2301130,1316746,443057,5776,2160150,296888,497710
5044485,29125,1400424,1965267,29227615,66989,22335,3448798,423777,634658,472791,79012,424148,3490992,625352,185232
235484,12389,29610,105158,50016,156353305,19560,96808,1737,29424,35046,3586,929,103177,322299,10472
77632,65276,9903,26249,15118,28965,11241968,30767,498,217352,15762,7187,17,32762,89716,1328
9368813,46317,5415147,5868148,5104553,185171,41601,10710553,328916,262820,837917,165688,111243,7725583,351919,180511
51133,1778,578788,59853,226778,20382,2849,106241,45169398,29827,224740,20018,1215,11807,448104,74989
346424,393810,39655,706670,395824,87011,390839,144861,11858,50538784,138484,244915,48052,148469,458209,122435
234096,8377,44507,528817,170172,50852,12702,235640,228684,76782,24940333,4029,334,120995,339215,4365
50058,5003,7518,102859,29437,10483,3313,35533,6066,113523,3184,3782313,680,24653,23921,1577156
1144970,677,321778,607951,2227632,8723,100,641743,40770,249425,30225,77139,14246164,722235,64876,760092
10966829,39041,4718736,5523986,6433871,229741,46736,8719380,34204,324250,802262,182199,245499,10153231,371507,265928
7902579,390143,2001170,2304883,20939401,2437473,483904,3045512,8072548,6590185,4190295,81392,1302351,3623715,174320817,1647132
47145,4966,3950,93542,25441,21460,3401,20566,14803,96675,3650,3453133,86553,23145,72994,22664476
