idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled,precision_global,recall_global,f1_global
0,benign,2391136,0.22220,0.569862,0.226158,0.292289,0.163302,0.005191,0.634221,0.570549,0.226158,0.323919,0.604028,0.217170,0.319477
1,accelerationMultiplication,157490,0.01463,0.928263,0.955860,0.940482,0.024158,0.838419,0.966710,0.924342,0.955860,0.939837,0.920711,0.972081,0.945699
2,constantPositionOffset,442475,0.04112,0.630313,0.762110,0.637730,0.152557,0.271451,0.818783,0.459717,0.762110,0.573493,0.528333,0.840766,0.648901
3,constantSpeedOffset,433177,0.04025,0.518244,0.635641,0.507569,0.121865,0.126943,0.710430,0.374880,0.635641,0.471616,0.410627,0.806913,0.544278
4,dataReplay,475410,0.04418,0.382016,0.614788,0.430169,0.089610,0.236655,0.643147,0.296785,0.614788,0.400318,0.317482,0.710866,0.438932
5,dosAttack,1574090,0.14627,0.973312,0.993293,0.982977,0.014196,0.892393,0.995343,0.972426,0.993293,0.982749,0.968420,0.994762,0.981414
6,feignedBraking,118605,0.01102,0.899341,0.947849,0.920285,0.033975,0.809949,0.960945,0.892063,0.947849,0.919111,0.877992,0.970473,0.921919
7,positionMirroring,467049,0.04340,0.157994,0.229324,0.147993,0.056871,0.011359,0.212003,0.137367,0.229324,0.171815,0.166987,0.283013,0.210042
8,randomPositionOffset,470279,0.04370,0.832561,0.960481,0.884501,0.081434,0.551884,0.970621,0.803903,0.960481,0.875244,0.841822,0.970734,0.901694
9,randomSpeedOffset,542163,0.05038,0.832975,0.932170,0.871269,0.079353,0.565919,0.958919,0.801946,0.932170,0.862168,0.857518,0.952712,0.902612
10,reversedHeading,269999,0.02509,0.742493,0.923719,0.806115,0.116821,0.419233,0.935192,0.675859,0.923719,0.780586,0.663844,0.958729,0.784491
11,suddenConstantSpeed,57757,0.00537,0.588235,0.654867,0.557322,0.119039,0.174692,0.692282,0.402631,0.654867,0.498667,0.694754,0.642260,0.667476
12,suddenStop,211445,0.01965,0.856080,0.673753,0.734841,0.098294,0.209415,0.858238,0.823542,0.673753,0.741155,0.895191,0.751737,0.817216
13,timeDelayAttack,490574,0.04559,0.140889,0.206966,0.131059,0.062877,0.009936,0.224591,0.132159,0.206966,0.161312,0.157685,0.210176,0.180186
14,trafficCongestionSybil,2393335,0.22240,0.972669,0.728359,0.811860,0.156374,0.378084,0.966945,0.970098,0.728359,0.832025,0.976274,0.752646,0.849997
15,zeroSpeedReport,266359,0.02475,0.813003,0.850900,0.809370,0.116095,0.269591,0.930517,0.778768,0.850900,0.813237,0.814997,0.952909,0.878574
