cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
60,0.627837,0.694868,0.627837,0.735585,0.728953,0.627837,0.627837,0.688118,0.627837,0.645831
61,0.687304,0.700625,0.687304,0.731757,0.714852,0.687304,0.687304,0.687685,0.687304,0.693328
62,0.575078,0.670352,0.575078,0.723642,0.702624,0.575078,0.575078,0.644207,0.575078,0.585543
63,0.640606,0.687985,0.640606,0.726133,0.705925,0.640606,0.640606,0.656895,0.640606,0.628166
64,0.638104,0.650731,0.638104,0.721469,0.685930,0.638104,0.638104,0.628608,0.638104,0.629337
65,0.640418,0.692588,0.640418,0.739672,0.711886,0.640418,0.640418,0.653436,0.640418,0.646227
66,0.692118,0.654253,0.692118,0.714784,0.732851,0.692118,0.692118,0.668834,0.692118,0.675681
67,0.646039,0.676853,0.646039,0.735380,0.706879,0.646039,0.646039,0.652868,0.646039,0.631836
68,0.673536,0.759451,0.673536,0.776467,0.732378,0.673536,0.673536,0.718807,0.673536,0.672536
69,0.558340,0.586158,0.558340,0.662853,0.688664,0.558340,0.558340,0.587548,0.558340,0.533760
70,0.531825,0.663439,0.531825,0.699599,0.703199,0.531825,0.531825,0.632826,0.531825,0.521728
71,0.655239,0.717898,0.655239,0.724273,0.731702,0.655239,0.655239,0.673265,0.655239,0.632292
72,0.610318,0.601547,0.610318,0.685598,0.706821,0.610318,0.610318,0.631209,0.610318,0.612632
73,0.574821,0.682183,0.574821,0.712288,0.703213,0.574821,0.574821,0.646919,0.574821,0.565594
74,0.666630,0.698098,0.666630,0.735453,0.715388,0.666630,0.666630,0.689218,0.666630,0.681813
75,0.688191,0.669674,0.688191,0.733805,0.718454,0.688191,0.688191,0.667741,0.688191,0.684907
76,0.700406,0.713574,0.700406,0.759726,0.739978,0.700406,0.700406,0.704676,0.700406,0.714255
77,0.630353,0.712123,0.630353,0.753834,0.698580,0.630353,0.630353,0.661023,0.630353,0.605892
78,0.627867,0.684602,0.627867,0.693114,0.703210,0.627867,0.627867,0.669283,0.627867,0.633354
79,0.522950,0.566622,0.522950,0.652887,0.697100,0.522950,0.522950,0.577538,0.522950,0.500276
80,0.681527,0.723033,0.681527,0.746972,0.695219,0.681527,0.681527,0.684954,0.681527,0.688639
81,0.606924,0.667381,0.606924,0.711476,0.705049,0.606924,0.606924,0.652120,0.606924,0.613847
82,0.727159,0.725044,0.727159,0.749804,0.743942,0.727159,0.727159,0.722714,0.727159,0.724925
83,0.660704,0.744887,0.660704,0.768288,0.721160,0.660704,0.660704,0.692323,0.660704,0.639155
84,0.651780,0.714864,0.651780,0.738671,0.714697,0.651780,0.651780,0.699972,0.651780,0.677112
85,0.630888,0.724157,0.630888,0.753332,0.711524,0.630888,0.630888,0.667490,0.630888,0.612490
86,0.716045,0.735349,0.716045,0.750912,0.707644,0.716045,0.716045,0.702323,0.716045,0.720844
87,0.655734,0.726143,0.655734,0.749534,0.697367,0.655734,0.655734,0.679644,0.655734,0.674878
88,0.621123,0.666892,0.621123,0.716992,0.705198,0.621123,0.621123,0.649520,0.621123,0.630687
89,0.714510,0.742989,0.714510,0.764150,0.738085,0.714510,0.714510,0.727720,0.714510,0.726142
90,0.642996,0.720614,0.642996,0.749747,0.692779,0.642996,0.642996,0.668572,0.642996,0.637932
91,0.570211,0.658101,0.570211,0.698142,0.707689,0.570211,0.570211,0.642404,0.570211,0.567267
92,0.596534,0.661069,0.596534,0.717944,0.727370,0.596534,0.596534,0.651725,0.596534,0.587027
93,0.596862,0.667797,0.596862,0.711788,0.724689,0.596862,0.596862,0.656689,0.596862,0.591092
94,0.488229,0.580000,0.488229,0.651540,0.671129,0.488229,0.488229,0.558100,0.488229,0.435815
95,0.666507,0.643293,0.666507,0.701829,0.714465,0.666507,0.666507,0.651951,0.666507,0.659152
96,0.648709,0.670232,0.648709,0.733333,0.680854,0.648709,0.648709,0.608241,0.648709,0.635330
97,0.679078,0.767994,0.679078,0.777006,0.727061,0.679078,0.679078,0.718392,0.679078,0.685970
98,0.629366,0.675148,0.629366,0.715369,0.704370,0.629366,0.629366,0.641513,0.629366,0.618154
99,0.750601,0.748485,0.750601,0.783171,0.761808,0.750601,0.750601,0.745299,0.750601,0.760076
