cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.698664,0.696077,0.698664,0.755794,0.742504,0.698664,0.698664,0.670368,0.698664,0.692390
1,0.662626,0.719785,0.662626,0.754703,0.740710,0.662626,0.662626,0.691020,0.662626,0.662263
2,0.716488,0.726995,0.716488,0.761547,0.744588,0.716488,0.716488,0.710947,0.716488,0.717738
3,0.712657,0.726890,0.712657,0.746198,0.724876,0.712657,0.712657,0.692321,0.712657,0.703128
4,0.677093,0.678715,0.677093,0.747120,0.746720,0.677093,0.677093,0.673021,0.677093,0.648905
5,0.618743,0.703692,0.618743,0.745111,0.738222,0.618743,0.618743,0.693138,0.618743,0.634588
6,0.569704,0.679222,0.569704,0.712544,0.698496,0.569704,0.569704,0.633514,0.569704,0.552868
7,0.666785,0.736411,0.666785,0.755644,0.739717,0.666785,0.666785,0.711812,0.666785,0.682594
8,0.660531,0.733357,0.660531,0.752259,0.744386,0.660531,0.660531,0.693323,0.660531,0.624979
9,0.670932,0.707640,0.670932,0.734754,0.726509,0.670932,0.670932,0.693992,0.670932,0.677605
10,0.590409,0.679891,0.590409,0.717096,0.737280,0.590409,0.590409,0.676601,0.590409,0.596741
11,0.693974,0.631437,0.693974,0.709157,0.714592,0.693974,0.693974,0.646994,0.693974,0.681033
12,0.654991,0.770377,0.654991,0.787322,0.762267,0.654991,0.654991,0.728546,0.654991,0.651225
13,0.668845,0.751031,0.668845,0.774058,0.718772,0.668845,0.668845,0.695252,0.668845,0.660321
14,0.694113,0.739884,0.694113,0.780790,0.769453,0.694113,0.694113,0.727284,0.694113,0.693820
15,0.675212,0.731281,0.675212,0.760241,0.720892,0.675212,0.675212,0.692538,0.675212,0.693417
16,0.718748,0.746225,0.718748,0.768558,0.762364,0.718748,0.718748,0.744346,0.718748,0.732993
17,0.709289,0.736129,0.709289,0.778846,0.752954,0.709289,0.709289,0.711030,0.709289,0.717395
18,0.703688,0.693286,0.703688,0.762227,0.725033,0.703688,0.703688,0.670464,0.703688,0.704885
19,0.667258,0.752294,0.667258,0.768768,0.745579,0.667258,0.667258,0.702023,0.667258,0.631595
20,0.705623,0.782554,0.705623,0.786175,0.757881,0.705623,0.705623,0.728294,0.705623,0.694789
21,0.691997,0.681484,0.691997,0.755524,0.766589,0.691997,0.691997,0.683709,0.691997,0.666275
22,0.579054,0.696728,0.579054,0.735854,0.727912,0.579054,0.579054,0.662002,0.579054,0.568716
23,0.552142,0.645923,0.552142,0.688593,0.716516,0.552142,0.552142,0.631954,0.552142,0.531763
24,0.659533,0.756136,0.659533,0.783181,0.747674,0.659533,0.659533,0.720390,0.659533,0.684851
25,0.598086,0.673462,0.598086,0.712505,0.733893,0.598086,0.598086,0.660511,0.598086,0.585181
26,0.733988,0.714353,0.733988,0.754860,0.722638,0.733988,0.733988,0.691400,0.733988,0.729014
27,0.687367,0.753797,0.687367,0.778987,0.773963,0.687367,0.687367,0.724687,0.687367,0.661862
28,0.639250,0.734644,0.639250,0.759797,0.742176,0.639250,0.639250,0.702189,0.639250,0.635816
29,0.667472,0.766509,0.667472,0.794709,0.762144,0.667472,0.667472,0.721163,0.667472,0.644358
30,0.680123,0.711315,0.680123,0.752797,0.768856,0.680123,0.680123,0.707787,0.680123,0.669871
31,0.604801,0.686602,0.604801,0.742047,0.736068,0.604801,0.604801,0.660027,0.604801,0.597752
32,0.725719,0.732012,0.725719,0.768534,0.771723,0.725719,0.725719,0.729565,0.725719,0.715321
33,0.630770,0.741126,0.630770,0.769610,0.752233,0.630770,0.630770,0.709236,0.630770,0.630945
34,0.751933,0.757080,0.751933,0.785895,0.753773,0.751933,0.751933,0.730837,0.751933,0.756403
35,0.659227,0.680015,0.659227,0.751513,0.724246,0.659227,0.659227,0.644498,0.659227,0.657326
36,0.657419,0.752184,0.657419,0.774568,0.675770,0.657419,0.657419,0.646122,0.657419,0.675046
37,0.572576,0.688043,0.572576,0.732159,0.734210,0.572576,0.572576,0.663842,0.572576,0.562000
38,0.734528,0.735422,0.734528,0.764992,0.766144,0.734528,0.734528,0.741819,0.734528,0.740305
39,0.681923,0.736959,0.681923,0.763778,0.763730,0.681923,0.681923,0.722066,0.681923,0.670799
40,0.661223,0.686084,0.661223,0.761522,0.743056,0.661223,0.661223,0.669230,0.661223,0.675447
41,0.667645,0.725571,0.667645,0.764047,0.685758,0.667645,0.667645,0.640979,0.667645,0.674839
42,0.673313,0.692061,0.673313,0.740364,0.751722,0.673313,0.673313,0.705383,0.673313,0.684538
43,0.577940,0.702880,0.577940,0.732822,0.732039,0.577940,0.577940,0.672053,0.577940,0.574923
44,0.654093,0.725099,0.654093,0.755951,0.709868,0.654093,0.654093,0.666203,0.654093,0.626810
45,0.691231,0.749163,0.691231,0.782393,0.748100,0.691231,0.691231,0.719367,0.691231,0.691006
46,0.648500,0.692709,0.648500,0.747633,0.753224,0.648500,0.648500,0.682605,0.648500,0.613700
47,0.654373,0.709115,0.654373,0.749191,0.730065,0.654373,0.654373,0.675532,0.654373,0.647085
48,0.693035,0.703246,0.693035,0.743586,0.728051,0.693035,0.693035,0.686199,0.693035,0.677552
49,0.529364,0.690013,0.529364,0.734175,0.718955,0.529364,0.529364,0.648345,0.529364,0.520679
