round,cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
1,0,0.6298521476362198,0.5537011322722564,0.6298521476362198,0.6936817436113352,0.5627703961947961,0.6298521476362198,0.6298521476362198,0.5050839908155937,0.6298521476362198,0.6279211628726289
1,1,0.460292641912817,0.39464966533707296,0.460292641912817,0.6099793919422447,0.45000235052095056,0.460292641912817,0.46029264191281705,0.36156596991221956,0.460292641912817,0.4744340835222767
1,2,0.5868598371039748,0.44269471987375064,0.5868598371039748,0.6235080972175772,0.46446843073679656,0.5868598371039748,0.5868598371039748,0.41609635482079865,0.5868598371039748,0.5821471184666915
1,3,0.6789412808419916,0.6214870346609052,0.6789412808419916,0.6946862829317852,0.48437959820490434,0.6789412808419916,0.6789412808419915,0.49562416936723575,0.6789412808419916,0.6609708217968069
1,4,0.5380337751524136,0.5096211864301283,0.5380337751524136,0.6690796709736427,0.48800837887885185,0.5380337751524136,0.5380337751524136,0.40028544675141703,0.5380337751524136,0.5235764652256049
1,5,0.3642631779323454,0.5606605591156184,0.3642631779323454,0.6563644853175368,0.3922173879679237,0.3642631779323454,0.3642631779323454,0.38839555268175896,0.3642631779323454,0.402268892334012
1,6,0.41835661218121195,0.46180952835180455,0.41835661218121195,0.4236705495519798,0.4235787191856012,0.41835661218121195,0.4183566121812119,0.3851479201621567,0.41835661218121195,0.3860655636356977
1,7,0.4690628297973589,0.5016726679434578,0.4690628297973589,0.6200490893876666,0.4201244879536827,0.4690628297973589,0.4690628297973589,0.3528318282366011,0.4690628297973589,0.4653985612641348
1,8,0.5426808717090422,0.4267095037431794,0.5426808717090422,0.5173155069713755,0.4782858249982933,0.5426808717090422,0.5426808717090422,0.39449099394580056,0.5426808717090422,0.49453986730996097
1,9,0.4337860990026988,0.4904466339343779,0.4337860990026988,0.6157826486912262,0.4181142643267067,0.4337860990026988,0.4337860990026988,0.3548441396672573,0.4337860990026988,0.39864363992568397
1,10,0.43072486398770116,0.49752057798664806,0.43072486398770116,0.40774617784613343,0.5132424127400652,0.43072486398770116,0.43072486398770116,0.4598192059091155,0.43072486398770116,0.39538303581385215
1,11,0.6467874873981807,0.6490807923252468,0.6467874873981807,0.701813829449617,0.6337925578636141,0.6467874873981807,0.6467874873981807,0.5945206790817736,0.6467874873981807,0.6276676136177826
1,12,0.5487480512423031,0.5763959017674013,0.5487480512423031,0.6841441022395989,0.531490344357241,0.5487480512423031,0.5487480512423031,0.47796308721862235,0.5487480512423031,0.5344702768358932
1,13,0.5316671906099453,0.5325534858338234,0.5316671906099453,0.6413323431957838,0.40542554216707205,0.5316671906099453,0.5316671906099453,0.35569206127973657,0.5316671906099453,0.49829718047502664
1,14,0.6126150797349365,0.6294131792374739,0.6126150797349365,0.7183725464221125,0.6318969286996894,0.6126150797349365,0.6126150797349365,0.5787401616124557,0.6126150797349365,0.6111274880369586
1,15,0.49297815337732476,0.39930459645909755,0.49297815337732476,0.5734622257583573,0.342113925519152,0.49297815337732476,0.49297815337732476,0.27119724220917063,0.49297815337732476,0.4331614995561779
1,16,0.44304247155768567,0.4531578933515903,0.44304247155768567,0.630721230086127,0.48267915110754894,0.44304247155768567,0.4430424715576857,0.39863022810534243,0.44304247155768567,0.4435730392535018
1,17,0.5829986090026124,0.6082900325704607,0.5829986090026124,0.696164276055407,0.5142972969352289,0.5829986090026124,0.5829986090026125,0.45522420882226816,0.5829986090026124,0.578483319088451
1,18,0.5858754804116921,0.5925039540452337,0.5858754804116921,0.6964345841707137,0.5741056344093103,0.5858754804116921,0.5858754804116921,0.49607394179715714,0.5858754804116921,0.5857690686412382
