round,cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
1,0,0.7213077401212841,0.7076434202903183,0.7213077401212841,0.7447742512464335,0.6003321961325281,0.7213077401212841,0.7213077401212842,0.5930256278767456,0.7213077401212841,0.7035197407173176
1,1,0.3588357884327263,0.5191358879890637,0.3588357884327263,0.5446592234398983,0.5277665097281241,0.3588357884327263,0.3588357884327263,0.3491570750136711,0.3588357884327263,0.28298578727258206
1,2,0.6475244771958295,0.5835853518936214,0.6475244771958295,0.685930614070079,0.5531016210553014,0.6475244771958295,0.6475244771958295,0.5269869296055802,0.6475244771958295,0.6233459770013166
1,3,0.6138636227838848,0.666375278217451,0.6138636227838848,0.7321201689850692,0.6415531684423982,0.6138636227838848,0.6138636227838848,0.5928793088838272,0.6138636227838848,0.6256956519916411
1,4,0.6675120382279424,0.5737225260178943,0.6675120382279424,0.684978088904263,0.6467636048592926,0.6675120382279424,0.6675120382279424,0.5523375222333572,0.6675120382279424,0.6533507847841175
1,5,0.6688285096014503,0.6923794600880497,0.6688285096014503,0.7290357629334632,0.5654337242752168,0.6688285096014503,0.6688285096014503,0.5500623280693817,0.6688285096014503,0.65521595125132
1,6,0.7664277590631579,0.7512108271295304,0.7664277590631579,0.7638118260344073,0.6461322951721558,0.7664277590631579,0.7664277590631577,0.6614459306838992,0.7664277590631579,0.7482395132966895
1,7,0.6123609293003671,0.6216069667266766,0.6123609293003671,0.7098717870622321,0.5748404949479475,0.6123609293003671,0.6123609293003671,0.5591358736686516,0.6123609293003671,0.6238287005833713
1,8,0.792209764153043,0.780183648984371,0.792209764153043,0.7838465486312076,0.7105226831900776,0.792209764153043,0.7922097641530429,0.7231940744989199,0.792209764153043,0.7734046139262792
1,9,0.39762685753999294,0.5367745791382501,0.39762685753999294,0.45310732631088746,0.4724112237395949,0.39762685753999294,0.39762685753999294,0.4031626779456984,0.39762685753999294,0.3567615062401345
1,10,0.6558492745747441,0.6794039590209385,0.6558492745747441,0.7476295465482558,0.6860180358492336,0.6558492745747441,0.6558492745747441,0.649097360868996,0.6558492745747441,0.6343885820024668
1,11,0.5477775404055052,0.6112638082822445,0.5477775404055052,0.6656314159215522,0.48586196851396196,0.5477775404055052,0.5477775404055052,0.4574247557459269,0.5477775404055052,0.5294949044057242
1,12,0.3933807332411949,0.4635675833786251,0.3933807332411949,0.41410981523593826,0.3647203930022397,0.3933807332411949,0.3933807332411949,0.29029936468570744,0.3933807332411949,0.33552795857983186
1,13,0.6006065413954373,0.648069714893484,0.6006065413954373,0.7251409162207046,0.515458786553838,0.6006065413954373,0.6006065413954373,0.48944476611275,0.6006065413954373,0.5753824421366076
1,14,0.5718012147740296,0.6679761887893196,0.5718012147740296,0.7545721399311107,0.5262534839513806,0.5718012147740296,0.5718012147740297,0.47283804000463403,0.5718012147740296,0.5464645132962249
1,15,0.4200290800135262,0.5092586000255943,0.4200290800135262,0.4547801118128145,0.5827433509788833,0.4200290800135262,0.4200290800135262,0.4450102166130054,0.4200290800135262,0.38256239303630757
1,16,0.387021396864685,0.4554900846093064,0.387021396864685,0.443384689079918,0.5368131679573656,0.387021396864685,0.387021396864685,0.40913200379974834,0.387021396864685,0.33403224288182104
1,17,0.6567355022509737,0.732314994056338,0.6567355022509737,0.7588643615232407,0.6993579127866482,0.6567355022509737,0.6567355022509737,0.6672281867415772,0.6567355022509737,0.6305524992109794
1,18,0.5766323032357579,0.5732524925586019,0.5766323032357579,0.6790564665186666,0.5718624232828577,0.5766323032357579,0.5766323032357579,0.4546689580176936,0.5766323032357579,0.5267324193960435
1,19,0.5239339550834873,0.6068673009917009,0.5239339550834873,0.6377094885098746,0.5028357077859041,0.5239339550834873,0.5239339550834873,0.4586309616532254,0.5239339550834873,0.5198897016416355
2,0,0.7176499252927818,0.6987856266195882,0.7176499252927818,0.7418132881232451,0.614846060653673,0.7176499252927818,0.7176499252927818,0.6008281579041104,0.7176499252927818,0.7057090247328328
2,1,0.36524363176603514,0.5397042944662205,0.36524363176603514,0.5560735336322118,0.5363622913455885,0.36524363176603514,0.36524363176603514,0.3763702957325281,0.36524363176603514,0.30039156863270267
2,2,0.6415128669349169,0.65041635410904,0.6415128669349169,0.7051870111471512,0.552232839561993,0.6415128669349169,0.6415128669349169,0.5327391033927826,0.6415128669349169,0.6249596783953908
2,3,0.5844684069637033,0.6579843404212277,0.5844684069637033,0.7251350279430637,0.6474028200727684,0.5844684069637033,0.5844684069637034,0.5916871877310295,0.5844684069637033,0.5976454829219983
2,4,0.664653008458145,0.6522779128905893,0.664653008458145,0.7417334587040377,0.6593653660295095,0.664653008458145,0.664653008458145,0.5678567641569661,0.664653008458145,0.6513937734114545
2,5,0.6651054612793217,0.701031039982811,0.6651054612793217,0.7313470924706352,0.5746674184876464,0.6651054612793217,0.6651054612793217,0.5639005490754385,0.6651054612793217,0.6558465844934528
2,6,0.7646941464462196,0.7461286002671812,0.7646941464462196,0.7652977278247649,0.6729011007505797,0.7646941464462196,0.7646941464462196,0.678014251414135,0.7646941464462196,0.7510603844141994
2,7,0.6150861467755465,0.6220054227479984,0.6150861467755465,0.7068610153399719,0.5815169782399541,0.6150861467755465,0.6150861467755465,0.5640705218597075,0.6150861467755465,0.6227822745718614
2,8,0.770368345289245,0.7761003332225644,0.770368345289245,0.7747458117945905,0.7032324467819688,0.770368345289245,0.7703683452892449,0.7170318113270648,0.770368345289245,0.754559273962143
